-------------
Broker Host: localhost
Storage Dir: /Users/nemanja/Desktop/clones
Worker Count: 5
-------------
bid consumer setup for master
Bid{job=Repository ( path=facebook/react-native size=923457 technologies=[] library=express jobId=2241e76e-bf8e-4966-8190-2db53c4b01bb correlationId=facebook/react-native destination=Repositories), cost=109290.62105668195, workerId='worker_fast_1', jobName='facebook/react-native'}
Bid{job=Repository ( path=facebook/react-native size=923457 technologies=[] library=express jobId=2241e76e-bf8e-4966-8190-2db53c4b01bb correlationId=facebook/react-native destination=Repositories), cost=99485.14736458714, workerId='worker_normal_5', jobName='facebook/react-native'}
Bid{job=Repository ( path=facebook/react-native size=923457 technologies=[] library=express jobId=2241e76e-bf8e-4966-8190-2db53c4b01bb correlationId=facebook/react-native destination=Repositories), cost=99421.14736458714, workerId='worker_slow_3', jobName='facebook/react-native'}
Bid{job=Repository ( path=facebook/react-native size=923457 technologies=[] library=express jobId=2241e76e-bf8e-4966-8190-2db53c4b01bb correlationId=facebook/react-native destination=Repositories), cost=143440.44050088333, workerId='worker_normal_4', jobName='facebook/react-native'}
About to send winning bid: Bid{job=Repository ( path=facebook/react-native size=923457 technologies=[] library=express jobId=2241e76e-bf8e-4966-8190-2db53c4b01bb correlationId=facebook/react-native destination=Repositories), cost=99421.14736458714, workerId='worker_slow_3', jobName='facebook/react-native'}
Bid{job=Repository ( path=facebook/react-native size=923457 technologies=[] library=async jobId=6649082f-8993-4d6b-9e29-038b62f741c5 correlationId=facebook/react-native destination=Repositories), cost=99644.14736458714, workerId='worker_slow_3', jobName='facebook/react-native'}
Bid{job=Repository ( path=facebook/react-native size=923457 technologies=[] library=async jobId=6649082f-8993-4d6b-9e29-038b62f741c5 correlationId=facebook/react-native destination=Repositories), cost=109309.62105668195, workerId='worker_fast_1', jobName='facebook/react-native'}
Bid{job=Repository ( path=facebook/react-native size=923457 technologies=[] library=async jobId=6649082f-8993-4d6b-9e29-038b62f741c5 correlationId=facebook/react-native destination=Repositories), cost=143538.44050088333, workerId='worker_slow_2', jobName='facebook/react-native'}
Bid{job=Repository ( path=facebook/react-native size=923457 technologies=[] library=async jobId=6649082f-8993-4d6b-9e29-038b62f741c5 correlationId=facebook/react-native destination=Repositories), cost=143513.44050088333, workerId='worker_normal_4', jobName='facebook/react-native'}
Bid{job=Repository ( path=facebook/react-native size=923457 technologies=[] library=async jobId=6649082f-8993-4d6b-9e29-038b62f741c5 correlationId=facebook/react-native destination=Repositories), cost=99408.14736458714, workerId='worker_normal_5', jobName='facebook/react-native'}
About to send winning bid: Bid{job=Repository ( path=facebook/react-native size=923457 technologies=[] library=async jobId=6649082f-8993-4d6b-9e29-038b62f741c5 correlationId=facebook/react-native destination=Repositories), cost=99408.14736458714, workerId='worker_normal_5', jobName='facebook/react-native'}
Bid{job=Repository ( path=kubernetes/kubernetes size=1374597 technologies=[] library=express jobId=090e3dde-7fd8-4514-845f-02de17b80997 correlationId=kubernetes/kubernetes destination=Repositories), cost=119345.57937756466, workerId='worker_fast_1', jobName='kubernetes/kubernetes'}
Bid{job=Repository ( path=kubernetes/kubernetes size=1374597 technologies=[] library=express jobId=090e3dde-7fd8-4514-845f-02de17b80997 correlationId=kubernetes/kubernetes destination=Repositories), cost=134277.86324801043, workerId='worker_normal_5', jobName='kubernetes/kubernetes'}
Bid{job=Repository ( path=kubernetes/kubernetes size=1374597 technologies=[] library=express jobId=090e3dde-7fd8-4514-845f-02de17b80997 correlationId=kubernetes/kubernetes destination=Repositories), cost=134238.86324801043, workerId='worker_slow_3', jobName='kubernetes/kubernetes'}
Bid{job=Repository ( path=kubernetes/kubernetes size=1374597 technologies=[] library=express jobId=090e3dde-7fd8-4514-845f-02de17b80997 correlationId=kubernetes/kubernetes destination=Repositories), cost=153510.39882176605, workerId='worker_normal_4', jobName='kubernetes/kubernetes'}
Bid{job=Repository ( path=kubernetes/kubernetes size=1374597 technologies=[] library=express jobId=090e3dde-7fd8-4514-845f-02de17b80997 correlationId=kubernetes/kubernetes destination=Repositories), cost=153510.39882176605, workerId='worker_slow_2', jobName='kubernetes/kubernetes'}
About to send winning bid: Bid{job=Repository ( path=kubernetes/kubernetes size=1374597 technologies=[] library=express jobId=090e3dde-7fd8-4514-845f-02de17b80997 correlationId=kubernetes/kubernetes destination=Repositories), cost=119345.57937756466, workerId='worker_fast_1', jobName='kubernetes/kubernetes'}
Bid{job=Repository ( path=kubernetes/kubernetes size=1374597 technologies=[] library=async jobId=d9517498-5f20-4baf-864b-c816de251b75 correlationId=kubernetes/kubernetes destination=Repositories), cost=153448.39882176605, workerId='worker_slow_2', jobName='kubernetes/kubernetes'}
Bid{job=Repository ( path=kubernetes/kubernetes size=1374597 technologies=[] library=async jobId=d9517498-5f20-4baf-864b-c816de251b75 correlationId=kubernetes/kubernetes destination=Repositories), cost=119530.57937756466, workerId='worker_fast_1', jobName='kubernetes/kubernetes'}
Bid{job=Repository ( path=kubernetes/kubernetes size=1374597 technologies=[] library=async jobId=d9517498-5f20-4baf-864b-c816de251b75 correlationId=kubernetes/kubernetes destination=Repositories), cost=134277.86324801043, workerId='worker_normal_5', jobName='kubernetes/kubernetes'}
Bid{job=Repository ( path=kubernetes/kubernetes size=1374597 technologies=[] library=async jobId=d9517498-5f20-4baf-864b-c816de251b75 correlationId=kubernetes/kubernetes destination=Repositories), cost=134319.86324801043, workerId='worker_slow_3', jobName='kubernetes/kubernetes'}
Bid{job=Repository ( path=kubernetes/kubernetes size=1374597 technologies=[] library=async jobId=d9517498-5f20-4baf-864b-c816de251b75 correlationId=kubernetes/kubernetes destination=Repositories), cost=153448.39882176605, workerId='worker_normal_4', jobName='kubernetes/kubernetes'}
About to send winning bid: Bid{job=Repository ( path=kubernetes/kubernetes size=1374597 technologies=[] library=async jobId=d9517498-5f20-4baf-864b-c816de251b75 correlationId=kubernetes/kubernetes destination=Repositories), cost=119530.57937756466, workerId='worker_fast_1', jobName='kubernetes/kubernetes'}
Bid{job=Repository ( path=nodejs/node size=1353592 technologies=[] library=express jobId=140edea5-e8da-4283-9e1b-bfc3d6f208d3 correlationId=nodejs/node destination=Repositories), cost=133836.29168295444, workerId='worker_slow_3', jobName='nodejs/node'}
Bid{job=Repository ( path=nodejs/node size=1353592 technologies=[] library=express jobId=140edea5-e8da-4283-9e1b-bfc3d6f208d3 correlationId=nodejs/node destination=Repositories), cost=153063.82725671006, workerId='worker_slow_2', jobName='nodejs/node'}
Bid{job=Repository ( path=nodejs/node size=1353592 technologies=[] library=express jobId=140edea5-e8da-4283-9e1b-bfc3d6f208d3 correlationId=nodejs/node destination=Repositories), cost=153028.82725671006, workerId='worker_normal_4', jobName='nodejs/node'}
Bid{job=Repository ( path=nodejs/node size=1353592 technologies=[] library=express jobId=140edea5-e8da-4283-9e1b-bfc3d6f208d3 correlationId=nodejs/node destination=Repositories), cost=153952.72369593196, workerId='worker_fast_1', jobName='nodejs/node'}
Bid{job=Repository ( path=nodejs/node size=1353592 technologies=[] library=express jobId=140edea5-e8da-4283-9e1b-bfc3d6f208d3 correlationId=nodejs/node destination=Repositories), cost=133837.29168295444, workerId='worker_normal_5', jobName='nodejs/node'}
About to send winning bid: Bid{job=Repository ( path=nodejs/node size=1353592 technologies=[] library=express jobId=140edea5-e8da-4283-9e1b-bfc3d6f208d3 correlationId=nodejs/node destination=Repositories), cost=133836.29168295444, workerId='worker_slow_3', jobName='nodejs/node'}
Bid{job=Repository ( path=nodejs/node size=1353592 technologies=[] library=async jobId=a6d8e625-9ddb-4e1a-9394-baa846122471 correlationId=nodejs/node destination=Repositories), cost=153045.82725671006, workerId='worker_normal_4', jobName='nodejs/node'}
Bid{job=Repository ( path=nodejs/node size=1353592 technologies=[] library=async jobId=a6d8e625-9ddb-4e1a-9394-baa846122471 correlationId=nodejs/node destination=Repositories), cost=153083.82725671006, workerId='worker_slow_2', jobName='nodejs/node'}
Bid{job=Repository ( path=nodejs/node size=1353592 technologies=[] library=async jobId=a6d8e625-9ddb-4e1a-9394-baa846122471 correlationId=nodejs/node destination=Repositories), cost=133850.29168295444, workerId='worker_normal_5', jobName='nodejs/node'}
Bid{job=Repository ( path=nodejs/node size=1353592 technologies=[] library=async jobId=a6d8e625-9ddb-4e1a-9394-baa846122471 correlationId=nodejs/node destination=Repositories), cost=153978.72369593196, workerId='worker_fast_1', jobName='nodejs/node'}
